subject,stage,cca_corr1,cca_corr2,Xc1_mean,Xc1_std,Xc1_25p,Xc1_median,Xc1_75p,Xc2_mean,Xc2_std,Xc2_25p,Xc2_median,Xc2_75p,Yc1_mean,Yc1_std,Yc1_25p,Yc1_median,Yc1_75p,Yc2_mean,Yc2_std,Yc2_25p,Yc2_median,Yc2_75p
apples-140011.edf,N1,0.5117723164688853,0.39647476773683205,-1.365607660319712e-18,1.0601247419005786,-0.5897828330814665,-0.012127545512091449,0.5684365029065328,-6.315935428978669e-18,0.9198633839354291,-0.4804425949248851,-0.004551178637977805,0.47287402958004465,-3.41401915079928e-18,1.056098869675163,-0.6157265152223951,-0.02632642759065875,0.5841516395052355,4.011472502189154e-18,0.9220070768907607,-0.4280647581771124,-0.016885686342440642,0.39949874200594593
apples-140011.edf,N2,0.7637724513846786,0.538692220995699,-1.635427171598662e-17,1.0072295637314457,-0.5962077232615244,-0.013268920010440177,0.5821599027748727,-1.3182014554825389e-18,0.8865163726377366,-0.5072806429534082,0.015684683888337967,0.5265282394025045,1.5432602405649236e-18,1.0112782280953907,-0.591081267239886,-0.012231230406091384,0.573211484132349,5.572884202040001e-18,0.9885232118628658,-0.5256792623494053,0.008480854343725003,0.5426465838441705
apples-140011.edf,N3,0.845672530857342,0.6269711413867078,-1.1973960917438725e-17,1.0057405296533215,-0.6190064876486122,-0.007687629932490387,0.6090444366745633,-9.86864910777917e-18,0.8894967274606177,-0.5483034882298735,-0.019153233016262965,0.5492914172497002,-8.421247238638224e-18,1.03422750082802,-0.6123306871277561,-0.006704249901740842,0.5975372856629018,-5.26327952414889e-19,0.9640253703845751,-0.6161410806942389,-0.011926536182283792,0.580019666336426
apples-140011.edf,R,0.7498242374492943,0.5184450763082046,3.599154380484168e-18,0.552665243803673,-0.3015639572505041,-0.0014016786108598813,0.30094319516291074,2.322035084183334e-17,0.970785917511654,-0.5901570858364794,0.0034801909456033103,0.5915317468738658,-9.520343845151669e-19,0.9652998134024268,-0.33040093862409076,-0.0008976270572694315,0.33341819912853077,-2.4149164875506673e-18,0.5316812352207325,-0.30145863097633885,0.007772936878218218,0.3143005150554269
apples-130001.edf,W,0.42559647118215727,0.18887385321121944,1.9629640225291656e-17,0.9039093222613535,-0.328735180442663,0.005103515738594109,0.3336111593169203,1.1017001003957108e-17,0.5504207496084178,-0.18041970044462877,-0.002634717288736041,0.1747599592373194,-9.186815169423518e-18,0.8493759334117505,-0.25637585545857733,0.010144387959463477,0.27888914446892116,2.9426517339559703e-18,1.1302067920431265,-0.4609847623800069,-0.006003669660805032,0.441626948989679
apples-130001.edf,N1,0.5418154700905238,0.18081226169525713,8.003814724654001e-18,0.8009282033899346,-0.4405137025644007,-0.014619992554512715,0.42392729939775575,2.5604039961010506e-17,0.32520968369285486,-0.16040143968596224,0.0009735554531496959,0.15998797918567806,1.6661002079892005e-17,1.0683882007178083,-0.5433550507835871,-0.002003219151006657,0.5363669780086582,-4.042743151738501e-18,0.926571497483586,-0.381583714932191,-0.005617082867999976,0.3695278251184436
apples-130001.edf,N2,0.6537815116231498,0.3166016444586723,-1.2871068937907711e-17,0.7184650357834571,-0.3948571114608987,-0.009961131192473877,0.38553915197409533,-1.9789838834275762e-17,0.3117220339612534,-0.17357256777561186,-0.00020990331241858587,0.17392526701501443,6.744556265883963e-18,1.2281190964764557,-0.6048682682085922,-0.004268047415453075,0.5900169162383179,-8.992741687845285e-18,0.6586622326680301,-0.31195788251252915,0.002163672452799728,0.3143499993756382
apples-130001.edf,R,0.7204228179221742,0.48751292698684956,-1.6899394796456437e-18,0.6473964777750848,-0.293343235238676,-0.0007163990553236962,0.2918546132677202,-1.2444099804663377e-17,0.7203955432100174,-0.4219041468803009,0.0024774945691619097,0.4237490489697291,-3.9431921191731684e-18,1.265178566921688,-0.2680915641109416,0.0012430337034683393,0.2691709917421111,1.0830975755910717e-17,0.48198968633298966,-0.2378386466382849,-0.0015440343307878924,0.2342794955193226
apples-140003.edf,W,0.4433375758162185,0.31267929852420145,1.0622255039645942e-17,0.9583434194112189,-0.3993771996099463,-0.0046891453822311465,0.4000419935758699,4.976191550104406e-18,1.032003577972092,-0.3348981218588011,0.009555839400765476,0.3561617498889836,-6.220239437630507e-18,1.024529700743144,-0.4021090501866363,-0.002349240519299565,0.38653976976641374,-1.9139198269632327e-18,0.7023130438529531,-0.29967752092007116,6.246437202176114e-05,0.2986747710425981
apples-140003.edf,N1,0.6302325726843593,0.5940473330925143,-2.6087559380564063e-18,1.0749322356942117,-0.531938597806079,-0.006889779988704232,0.5213489976523904,-3.638528018868146e-18,0.9346951622121831,-0.49946618855974945,-0.00882123076424552,0.4884877395882299,5.080208932004581e-18,0.9227194609728818,-0.4747884857869623,-0.0030808024953244703,0.47205006992152326,-2.8833618262728703e-18,1.0613569855813831,-0.5383633659369345,-0.009470727255775064,0.5200563711371767
