subject,component,adf_pval,adf_stationary,kpss_pval,kpss_stationary
apples-140073_N2,cca_corr2,2.0736654552102754e-30,True,0.1,True
apples-160219_N3,cca_corr1,4.430074471025228e-13,True,0.1,True
apples-160219_N3,cca_corr2,2.995250132190955e-14,True,0.1,True
apples-150141_R,cca_corr1,0.1109415582848452,False,0.01,False
apples-150141_R,cca_corr2,0.2269334818534824,False,0.01,False
apples-240022_N3,cca_corr1,0.9826369208921552,False,0.01,False
apples-240022_N3,cca_corr2,0.2927581790385304,False,0.1,True
apples-240090_R,cca_corr1,1.5863250268820353e-13,True,0.1,True
apples-240090_R,cca_corr2,1.2821509352634602e-13,True,0.1,True
apples-140011_N1,cca_corr1,2.132914183683178e-13,True,0.01,False
apples-140011_N1,cca_corr2,1.297962906928732e-09,True,0.021675896748289958,False
apples-170366_R,cca_corr1,1.0484032450262456e-18,True,0.1,True
apples-170366_R,cca_corr2,6.132905907608133e-23,True,0.1,True
apples-160290_N1,cca_corr1,3.871501875495837e-14,True,0.1,True
apples-160290_N1,cca_corr2,0.0006652446964578972,True,0.1,True
apples-170366_W,cca_corr1,1.7453777994741083e-09,True,0.1,True
apples-170366_W,cca_corr2,0.11397624719857458,False,0.01,False
apples-140003_N2,cca_corr1,0.009530110287215473,True,0.01,False
apples-140003_N2,cca_corr2,0.054841823404842276,False,0.01,False
apples-140011_W,cca_corr1,1.302106779389401e-16,True,0.06481907941982931,True
apples-140011_W,cca_corr2,1.8544500583343864e-12,True,0.01,False
apples-240023_W,cca_corr1,1.4523831429967772e-08,True,0.1,True
apples-240023_W,cca_corr2,8.968859532927694e-15,True,0.1,True
apples-160288_R,cca_corr1,0.10211309687355452,False,0.01,False
apples-160288_R,cca_corr2,8.59393082915577e-08,True,0.08973960773368335,True
apples-150142_N1,cca_corr1,1.6323505749435505e-11,True,0.042955678356114003,False
apples-150142_N1,cca_corr2,1.0669463788846112e-11,True,0.1,True
apples-140008_W,cca_corr1,1.488883328935278e-06,True,0.08807164886912479,True
apples-140008_W,cca_corr2,6.162621385975764e-10,True,0.1,True
apples-140012_W,cca_corr1,1.0409898805234157e-17,True,0.1,True
apples-140012_W,cca_corr2,1.5057082068686923e-14,True,0.1,True
apples-150140_N2,cca_corr1,0.00027010454030512623,True,0.04214013075607703,False
apples-150140_N2,cca_corr2,7.484594812077827e-07,True,0.1,True
