time_s,raw_uV,preproc_uV
5431.85,-10416666.666666657,2214015.646562273
5431.86,12867647.058823535,1794127.9207020937
5431.87,-612745.0980391984,2159429.112378402
5431.88,14093137.25490196,3471787.302394018
5431.89,5514705.882352957,5534945.211285519
5431.9,10416666.666666687,7882505.213492795
5431.91,4289215.686274531,9962934.975131545
5431.92,16544117.64705884,11362542.851986347
5431.93,10416666.666666687,11944878.478212897
5431.94,12867647.058823535,11893954.893168783
5431.95,16544117.64705884,11599326.898697713
5431.96,12867647.058823535,11482869.275622837
5431.97,15318627.450980416,11793369.406974176
5431.98,16544117.64705884,12493706.402231896
5431.99,14093137.25490196,13255264.323226955
5432.0,9191176.470588261,13581501.116776595
5432.01,12867647.058823535,12997699.426884891
5432.02,17769607.843137264,11251585.853457937
5432.03,-1838235.2941176237,8429249.26901496
5432.04,28799019.60784315,4951476.377376665
5432.05,-6740196.078431353,1439935.6487739913
5432.06,1838235.294117652,-1479890.3238977138
5432.07,-6740196.078431353,-3385673.9150964776
5432.08,-612745.0980391984,-4178085.0172527656
5432.09,-4289215.686274502,-4084225.020212347
5432.1,-612745.0980391984,-3539138.288382146
5432.11,-5514705.882352928,-2983806.568442797
5432.12,3063725.490196077,-2692497.9977258253
5432.13,612745.0980392268,-2673402.508846945
5432.14,3063725.490196077,-2689307.4618814536
5432.15,-4289215.686274502,-2394117.6268845866
5432.16,-1838235.2941176237,-1506439.5802504497
5432.17,612745.0980392268,45089.4379983795
5432.18,612745.0980392268,2057205.185626316
5432.19,3063725.490196077,4114792.1791236517
5432.2,7965686.274509807,5751146.860249311
5432.21,26348039.2156863,6630910.863769729
5432.22,612745.0980392268,6683323.134666177
5432.23,6740196.078431382,6125129.5300692925
5432.24,1838235.294117652,5377530.481816767
5432.25,-612745.0980391984,4898190.87966254
5432.26,10416666.666666687,4998199.834132095
5432.27,12867647.058823535,5708048.501013068
5432.28,7965686.274509807,6770362.141394722
5432.29,14093137.25490196,7744321.208488154
5432.3,7965686.274509807,8176068.483362625
5432.31,6740196.078431382,7773002.162137354
5432.32,4289215.686274531,6528754.361229716
5432.33,6740196.078431382,4735500.116903474
5432.34,5514705.882352957,2893501.0199886635
5432.35,4289215.686274531,1538733.9201656217
5432.36,612745.0980392268,1051785.4447652788
5432.37,6740196.078431382,1524726.0079678067
5432.38,5514705.882352957,2736345.0568722207
5432.39,7965686.274509807,4221312.766194234
5432.4,5514705.882352957,5420301.484815958
5432.41,1838235.294117652,5872196.342547758
5432.42,-6740196.078431353,5369889.909195812
5432.43,30024509.803921577,4022028.850506567
5432.44,-5514705.882352928,2207228.6107896124
5432.45,6740196.078431382,437167.81195121224
5432.46,-4289215.686274502,-826908.7787162729
5432.47,4289215.686274531,-1336181.830981073
5432.48,-3063725.490196077,-1129583.0980295544
5432.49,3063725.490196077,-503258.61940093763
5432.5,-3063725.490196077,112256.4852347403
5432.51,3063725.490196077,349427.36880435987
5432.52,1838235.294117652,63824.8827815322
5432.53,3063725.490196077,-600673.20000619
5432.54,3063725.490196077,-1259030.8511643542
5432.55,-612745.0980391984,-1460683.493394026
5432.56,612745.0980392268,-899969.3441502741
5432.57,3063725.490196077,413820.87675157853
5432.58,-3063725.490196077,2114591.91687129
