stage,time_bin,cca_corr1,cca_corr2
R,"(1800.0, 2400.0]",,
R,"(2400.0, 3000.0]",,
R,"(3000.0, 3600.0]",,
R,"(3600.0, 4200.0]",,
R,"(4200.0, 4800.0]",0.6603451892051889,0.4809360395804049
R,"(4800.0, 5400.0]",0.7090789545794213,0.5218072672474723
R,"(5400.0, 6000.0]",0.6583935816180984,0.4385691554558022
R,"(6000.0, 6600.0]",0.6458136558989419,0.43241034195104644
R,"(6600.0, 7200.0]",0.6521665770548717,0.4324591886625889
R,"(7200.0, 7800.0]",0.6840170928283783,0.3971012660913177
R,"(7800.0, 8400.0]",0.8059432968959886,0.4269366817108319
R,"(8400.0, 9000.0]",0.6744558644791403,0.4417463031314199
R,"(9000.0, 9600.0]",0.6987509823859592,0.5009681472714316
R,"(9600.0, 10200.0]",0.7006555349888317,0.4448978705229726
R,"(10200.0, 10800.0]",0.7111835455671406,0.4334352303340514
R,"(10800.0, 11400.0]",0.6771888706072069,0.432184879196468
R,"(11400.0, 12000.0]",0.6536047102322738,0.41755388772021695
R,"(12000.0, 12600.0]",0.6741125945710902,0.4493105337826232
R,"(12600.0, 13200.0]",0.6517864586709904,0.4476900395917224
R,"(13200.0, 13800.0]",0.6542201797861785,0.46601390364960643
R,"(13800.0, 14400.0]",0.7065505656958498,0.4511329441056886
R,"(14400.0, 15000.0]",0.7249601009733488,0.5073065509274802
R,"(15000.0, 15600.0]",0.7306610371195648,0.48686247920207787
R,"(15600.0, 16200.0]",0.5844841058969287,0.3409684281296856
R,"(16200.0, 16800.0]",0.7326609620487942,0.4334301081505817
R,"(16800.0, 17400.0]",0.7231332215724547,0.45918721847422467
R,"(17400.0, 18000.0]",0.7192033611909912,0.48598357090982586
R,"(18000.0, 18600.0]",0.7176061960385339,0.4805605002359274
R,"(18600.0, 19200.0]",0.7143124623814371,0.48979151629754686
R,"(19200.0, 19800.0]",0.6887578755491616,0.47448178543369063
R,"(19800.0, 20400.0]",0.669052743310063,0.45111856527362154
R,"(20400.0, 21000.0]",0.6313299434396044,0.42805154643175847
R,"(21000.0, 21600.0]",0.6661211630236235,0.42109964371473474
R,"(21600.0, 22200.0]",0.7088812817140552,0.4323169788199095
R,"(22200.0, 22800.0]",0.7402784691733321,0.47420668859271736
R,"(22800.0, 23400.0]",0.7129576031940463,0.4643273103414313
R,"(23400.0, 24000.0]",0.6758557376377043,0.4647137251454818
R,"(24000.0, 24600.0]",0.6836148376019311,0.46486056949101806
R,"(24600.0, 25200.0]",0.6971462892554509,0.43893982620743255
R,"(25200.0, 25800.0]",0.6657753341651141,0.39902394763367083
R,"(25800.0, 26400.0]",0.6816603238183001,0.46261385189495097
R,"(26400.0, 27000.0]",0.6696223101698779,0.4624608806445088
R,"(27000.0, 27600.0]",0.6895253110677015,0.47996506682622275
