subject,stage,cca_corr1_compute_entropy,cca_corr1_mean,cca_corr1_std,cca_corr1_skew,cca_corr1_kurtosis,cca_corr2_compute_entropy,cca_corr2_mean,cca_corr2_std,cca_corr2_skew,cca_corr2_kurtosis
apples-140007,N3,1.4030882084931486,0.7063823253116257,0.04986368564396827,-0.5385197100094784,-0.13898253809039396,1.7508282061146805,0.493203323187131,0.07126687866624366,-0.2440508937267187,-0.03482707266260654
apples-140007,R,2.0949313659283755,0.5941214620972369,0.1028540472148257,0.6347969520766978,0.19078310940009313,2.191554950692331,0.3507648863813473,0.11680132544650493,-0.24535685248773917,-0.9500742699864255
apples-140007,W,2.3380458077756523,0.6100741919949831,0.13646407064157534,0.31304130896150234,0.30326186956412515,2.063324693004056,0.32758704065177596,0.0994246280798359,0.45374265980430545,0.3510698907387053
apples-140008,N1,2.259738393919528,0.5866795266823026,0.13391922403655784,0.7494513504386084,0.0458833840702102,2.0453393311856187,0.3656956660515366,0.10843324195419253,0.6445407809125363,0.6151188320844754
apples-140008,N2,2.293980890351339,0.7054998836387636,0.12034227779960498,-0.0641524344420492,-0.144675753126418,2.2764570836141598,0.4662525978549928,0.11911965208822015,-0.053604668213946355,0.03635081395126738
apples-140008,N3,3.0045211517546666e-11,0.8351705462577993,,,,3.004510049524421e-11,0.514387615122857,,,
apples-140008,R,2.4303448309630804,0.6164526724501216,0.14829777947154937,0.05406053136620252,-0.7774554101130962,2.176112148388335,0.36096378273294316,0.10944631803577955,-0.17052389460409262,-0.0731527120007196
apples-140008,W,2.060864111339709,0.5549982990934966,0.11767654118702416,1.3527789999740865,2.94214043283794,2.2187341489749786,0.3199398203211244,0.1380588056573232,1.4021948785252194,3.9605524304449187
apples-140009,N1,1.860101453185316,0.6835025468141376,0.07919565591764666,-0.32545003030888425,-0.5221376389779198,1.8979472888744604,0.5278488160434522,0.10768067062644708,-0.7136987459448457,-0.6610605459380436
apples-140009,N2,1.7751932522830842,0.7394136856222248,0.07737856417323982,-0.8825384320436829,0.48985840244462286,1.928149584432066,0.567668221648962,0.09189195990519246,-1.155805053347652,1.7620404862830492
apples-140009,N3,1.1431465094639295,0.8053071602797999,0.036085322338151815,-0.41405834014826204,-0.43268892276590565,1.3404397520904405,0.5968292618550933,0.047023132720222155,0.06712815744988661,0.1563290612780448
apples-140009,R,1.6829775084611232,0.6797774574248686,0.06872640809051701,0.44608412093154637,1.4468602930329642,2.2470539779209164,0.43907979838683825,0.12457474283556208,0.08092330566526226,-1.049649618175222
apples-140009,W,2.2840608475326314,0.6511873813476733,0.14179115523466246,-0.9835176084370835,0.8249259073438893,2.556811888081702,0.4456408746648442,0.1687469765833775,-0.20225318214894478,-0.7418916309358994
apples-140011,N1,1.9195101300038921,0.6407690888084554,0.08944348428794259,-0.02441592439488911,-1.0321571270450458,1.9027106209454205,0.4713808960137095,0.0839478132307339,0.07292914064756445,-0.7484886951702516
apples-140011,N2,1.7296761997602204,0.8336654865167827,0.12135355066173079,-1.2426714157957823,0.43873202385051924,1.8908488386076914,0.5787595030794269,0.08379658365925138,-0.7611449652899364,0.971247659746592
apples-140011,N3,0.8548062849763232,0.8954383300540338,0.1275513544069722,-2.6237218906970465,5.323789073681377,1.2260760503891683,0.6365061886964536,0.12785232292980458,-2.293052820429666,4.238114537699815
apples-140011,R,1.6879086836355561,0.8321404193334885,0.07456840332093781,-0.7489989362507845,0.5859328024858481,1.6640623530141727,0.5719229586294072,0.0660839175861244,-0.20569455118975535,-0.49026418023204954
apples-140011,W,2.010209224348975,0.6023931050636432,0.10210635880124573,1.0257301047751306,1.1809777563005293,1.9040365136511412,0.420896327809479,0.0852751335834694,0.3106098797506467,1.689985031579707
